id,model_name,model_sha,model_precision,model_type,model_weight_type,model_architecture,model_average_score,model_has_chat_template,evaluations_ifeval_name,evaluations_ifeval_value,evaluations_ifeval_normalized_score,evaluations_bbh_name,evaluations_bbh_value,evaluations_bbh_normalized_score,evaluations_math_name,evaluations_math_value,evaluations_math_normalized_score,evaluations_gpqa_name,evaluations_gpqa_value,evaluations_gpqa_normalized_score,evaluations_musr_name,evaluations_musr_value,evaluations_musr_normalized_score,evaluations_mmlu_pro_name,evaluations_mmlu_pro_value,evaluations_mmlu_pro_normalized_score,features_is_not_available_on_hub,features_is_merged,features_is_moe,features_is_flagged,features_is_highlighted_by_maintainer,metadata_upload_date,metadata_submission_date,metadata_generation,metadata_base_model,metadata_hub_license,metadata_hub_hearts,metadata_params_billions,metadata_co2_cost
0-hero/Matter-0.2-7B-DPO_bfloat16_26a66f0d862e2024ce4ad0a09c37052ac36e8af6_True,0-hero/Matter-0.2-7B-DPO,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,bfloat16,chatmodels,Original,MistralForCausalLM,8.8056563672085,TRUE,IFEval,0.330279214705869,33.0279214705869,BBH,0.35962543016563,10.055525080241,MATH Level 5,0.00830815709969789,0.830815709969789,GPQA,0.259228187919463,1.23042505592841,MUSR,0.381375,5.871875,MMLU-PRO,0.116356382978723,1.81737588652482,TRUE,FALSE,FALSE,FALSE,FALSE,2024-04-13,2024-08-05,0,0-hero/Matter-0.2-7B-DPO,apache-2.0,3,7.242,0.609587082061858
01-ai/Yi-1.5-34B_bfloat16_4b486f81c935a2dadde84c6baa1e1370d40a098f_False,01-ai/Yi-1.5-34B,4b486f81c935a2dadde84c6baa1e1370d40a098f,bfloat16,pretrained,Original,LlamaForCausalLM,25.6213179606577,FALSE,IFEval,0.28411725333227,28.4117253332269,BBH,0.597639170636002,42.7493626883965,MATH Level 5,0.151812688821752,15.1812688821752,GPQA,0.365771812080537,15.4362416107383,MUSR,0.423604166666667,11.2171875,MMLU-PRO,0.466589095744681,40.732121749409,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-11,2024-06-12,0,01-ai/Yi-1.5-34B,apache-2.0,47,34.389,11.3516989373725
01-ai/Yi-1.5-34B-32K_bfloat16_2c03a29761e4174f20347a60fbe229be4383d48b_False,01-ai/Yi-1.5-34B-32K,2c03a29761e4174f20347a60fbe229be4383d48b,bfloat16,pretrained,Original,LlamaForCausalLM,26.6775604412372,FALSE,IFEval,0.311869173792205,31.1869173792205,BBH,0.601568577654242,43.3818466676257,MATH Level 5,0.151057401812689,15.1057401812689,GPQA,0.363255033557047,15.1006711409396,MUSR,0.439822916666667,14.0778645833333,MMLU-PRO,0.470910904255319,41.2123226950355,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-34B-32K,apache-2.0,36,34.389,11.5773142875495
01-ai/Yi-1.5-34B-Chat_bfloat16_f3128b2d02d82989daae566c0a7eadc621ca3254_True,01-ai/Yi-1.5-34B-Chat,f3128b2d02d82989daae566c0a7eadc621ca3254,bfloat16,chatmodels,Original,LlamaForCausalLM,32.8922333485004,TRUE,IFEval,0.606675842320598,60.6675842320598,BBH,0.608374831027182,44.2628259810057,MATH Level 5,0.249244712990937,24.9244712990937,GPQA,0.36493288590604,15.324384787472,MUSR,0.428197916666667,13.0580729166667,MMLU-PRO,0.452044547872341,39.1160608747045,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-10,2024-06-12,0,01-ai/Yi-1.5-34B-Chat,apache-2.0,258,34.389,11.2119219336639
01-ai/Yi-1.5-34B-Chat-16K_bfloat16_ff74452e11f0f749ab872dc19b1dd3813c25c4d8_True,01-ai/Yi-1.5-34B-Chat-16K,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,bfloat16,chatmodels,Original,LlamaForCausalLM,29.2399093240798,TRUE,IFEval,0.456449997118756,45.6449997118756,BBH,0.610021825649957,44.5361565467103,MATH Level 5,0.20392749244713,20.392749244713,GPQA,0.338087248322148,11.744966442953,MUSR,0.439760416666667,13.73671875,MMLU-PRO,0.454454787234043,39.383865248227,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-15,2024-07-15,0,01-ai/Yi-1.5-34B-Chat-16K,apache-2.0,26,34.389,3.38701122907442
01-ai/Yi-1.5-6B_bfloat16_cab51fce425b4c1fb19fccfdd96bd5d0908c1657_False,01-ai/Yi-1.5-6B,cab51fce425b4c1fb19fccfdd96bd5d0908c1657,bfloat16,pretrained,Original,LlamaForCausalLM,16.6953455877012,FALSE,IFEval,0.261660172785986,26.1660172785986,BBH,0.449258201989291,22.0279045366948,MATH Level 5,0.0634441087613293,6.34441087613293,GPQA,0.313758389261745,8.50111856823266,MUSR,0.43740625,13.3091145833333,MMLU-PRO,0.314411569148936,23.8235076832151,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-11,2024-08-10,0,01-ai/Yi-1.5-6B,apache-2.0,30,6.061,1.18475716213825
01-ai/Yi-1.5-6B-Chat_bfloat16_3f64d3f159c6ad8494227bb77e2a7baef8cd808b_True,01-ai/Yi-1.5-6B-Chat,3f64d3f159c6ad8494227bb77e2a7baef8cd808b,bfloat16,chatmodels,Original,LlamaForCausalLM,20.9839055848953,TRUE,IFEval,0.514527010554218,51.4527010554218,BBH,0.457131133195439,23.6787231323578,MATH Level 5,0.054380664652568,5.4380664652568,GPQA,0.302013422818792,6.93512304250559,MUSR,0.439177083333333,14.03046875,MMLU-PRO,0.319315159574468,24.3683510638298,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-11,2024-10-22,0,01-ai/Yi-1.5-6B-Chat,apache-2.0,41,6.061,0.968840116103892
01-ai/Yi-1.5-9B_bfloat16_8cfde9604384c50137bee480b8cef8a08e5ae81d_False,01-ai/Yi-1.5-9B,8cfde9604384c50137bee480b8cef8a08e5ae81d,bfloat16,pretrained,Original,LlamaForCausalLM,22.1413133973671,FALSE,IFEval,0.293584356174949,29.3584356174949,BBH,0.514294179104191,30.5007169949212,MATH Level 5,0.113293051359517,11.3293051359517,GPQA,0.379194630872483,17.2259507829978,MUSR,0.43278125,12.0309895833333,MMLU-PRO,0.391622340425532,32.4024822695035,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-11,2024-06-12,0,01-ai/Yi-1.5-9B,apache-2.0,47,8.829,0.734446016040854
01-ai/Yi-1.5-9B-32K_bfloat16_116561dfae63af90f9d163b43077629e0e916bb1_False,01-ai/Yi-1.5-9B-32K,116561dfae63af90f9d163b43077629e0e916bb1,bfloat16,pretrained,Original,LlamaForCausalLM,19.7846100522399,FALSE,IFEval,0.230311130023892,23.0311130023892,BBH,0.496332115988265,28.9370115821697,MATH Level 5,0.106495468277946,10.6495468277946,GPQA,0.359060402684564,14.5413870246085,MUSR,0.418614583333333,10.8268229166667,MMLU-PRO,0.376496010638298,30.7217789598109,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-9B-32K,apache-2.0,18,8.829,0.784036706634847
01-ai/Yi-1.5-9B-Chat_bfloat16_bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35_True,01-ai/Yi-1.5-9B-Chat,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,bfloat16,chatmodels,Original,LlamaForCausalLM,27.8944170339568,TRUE,IFEval,0.604552587135467,60.4552587135467,BBH,0.555906430281685,36.9529313841789,MATH Level 5,0.127643504531722,12.7643504531722,GPQA,0.334731543624161,11.2975391498881,MUSR,0.42590625,12.83828125,MMLU-PRO,0.397523271276596,33.0581412529551,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-10,2024-06-12,0,01-ai/Yi-1.5-9B-Chat,apache-2.0,136,8.829,0.726771745455303
